Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,Workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,Complaintfiled,ComplaintResolved,ComplaintYears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
31,Female,Low,Research & Development,1,Yes,No,Rarely,2,40,4,Yes,Yes,0,11,1,1,1,0,No
32,Male,Low,Research & Development,0,Yes,No,Frequently,2,40,4,No,,,13,2,8,7,3,No
34,Female,Medium,Research & Development,3,Yes,Yes,Rarely,8,40,1,No,,,14,3,7,0,0,No
49,Male,High,Research & Development,4,Yes,No,Rarely,1,40,3,No,,,14,3,23,8,0,No
27,Male,Medium,Research & Development,1,Yes,No,Rarely,19,40,1,No,,,11,1,7,7,0,No
22,Male,Low,Research & Development,0,Yes,Yes,Frequently,3,40,4,No,,,11,1,1,0,0,Yes
31,Female,High,Research & Development,4,Yes,Yes,None,10,40,3,No,,,20,5,13,11,4,No
51,Male,Medium,Sales,0,Yes,Yes,Rarely,21,40,4,No,,,22,5,11,10,1,No
29,Male,Low,Research & Development,0,Yes,Yes,Rarely,2,40,2,No,,,23,5,6,5,0,No
32,Male,Low,Research & Development,2,Yes,No,None,5,40,2,No,,,14,2,12,7,0,No
50,Male,High,Research & Development,3,Yes,No,Rarely,4,40,2,No,,,14,2,28,10,1,No
31,Female,Medium,Sales,1,Yes,Yes,Rarely,29,40,4,No,,,14,3,13,12,5,No
46,Male,High,Research & Development,3,Yes,Yes,Rarely,2,40,4,No,,,14,2,12,9,4,No
30,Male,Medium,Sales,5,Yes,Yes,Rarely,8,40,3,No,,,11,1,10,8,7,No
50,Male,Medium,Sales,7,Yes,No,Rarely,8,40,2,No,,,15,3,4,2,2,No
55,Male,High,Research & Development,1,Yes,No,None,8,40,2,No,,,15,3,34,33,15,No
30,Male,Low,Sales,0,Yes,Yes,Rarely,7,40,2,No,,,14,2,4,3,1,No
